"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"10","237.79624932787536","121.95594953068394","0.0120849609375","0.009765625","0.01171875","1560","0.00023363676852773511","24","0.00023363676852773511","0","0.00023363676852773511","0.00023363676852773511","9:68;11:68","9:0.004278114101420427;11:0.011412525571743465","9:0.0023775461541138687;11:0.010241469883448762","0.0120849609375","Yes"
"11","36.26516350699459","4.667395302406828","0.0618896484375","0.07373046875","0.050048828125","1560","0.0021261867863097304","24","0.0021261867863097304","0","0.0021261867863097304","0.0021261867863097304","18:68;10:68;12:68","18:0.009588676054763684;10:0.011412525571743465;12:0.008033412431233816","18:0.010629498900161655;10:0.010241469883448762;12:0.008717868677628332","0.0618896484375","Yes"
"12","70.80101353090306","68.33662895581982","0.02294921875","0.0283203125","0.017578125","1560","0.00029077088234029646","24","0.00029077088234029646","0","0.00029077088234029646","0.00029077088234029646","13:68;11:68","13:0.003779554048986916;11:0.008033412431233816","13:0.0033005419205188458;11:0.008717868677628332","0.02294921875","Yes"
"13","289.2294872793967","215.7319431518636","0.0108642578125","0.014404296875","0.00732421875","1560","0.00035649717814903665","24","0.00035649717814903665","0","0.00035649717814903665","0.00035649717814903665","12:68;14:68","12:0.003779554048986916;14:0.0015485335187294114","12:0.0033005419205188458;14:0.0015543211447652527","0.0108642578125","Yes"
"14","189.80946206406642","70.32127157993922","0.0045166015625","0.00439453125","0.004638671875","1560","0.00026803344240565637","24","0.00026803344240565637","0","0.00026803344240565637","0.00026803344240565637","15:68;13:68","15:0.0016698242311281586;13:0.0015485335187294114","15:0.0018540505256212925;13:0.0015543211447652527","0.0045166015625","Yes"
"15","189.0019645099029","140.16229846569783","0.02294921875","0.017822265625","0.028076171875","1560","0.00014508532540062228","24","0.00014508532540062228","0","0.00014508532540062228","0.00014508532540062228","14:68;19:68","14:0.0016698242311281586;19:0.0028870498508339892","14:0.0018540505256212925;19:0.00241058182921719","0.02294921875","Yes"
"16","124.2381526173554","99.33563480310896","0.0048828125","0.0087890625","0.0009765625","1560","0.0003429760320854005","24","0.0003429760320854005","0","0.0003429760320854005","0.0003429760320854005","23:68;3:68","23:0.003948965035763918;3:0.0020756170414928388","23:0.0028347495867548644;3:0.0022033859798671618","0.0048828125","Yes"
"17","200.93323551412118","96.77192430982895","0.3328857421875","0.14111328125","0.524658203125","1560","0.00024044867756067815","24","0.00024044867756067815","0","0.00024044867756067815","0.00024044867756067815","7:68;27:68","7:0.002590378435117724;27:0.025383995148327648","7:0.0027360846658501525;27:0.042587873995225844","0.3328857421875","Yes"
"18","150.78960617878997","73.13772864540667","0.0135498046875","0.0107421875","0.016357421875","1560","0.0003847635098947142","24","0.0003847635098947142","0","0.0003847635098947142","0.0003847635098947142","11:68;31:68","11:0.009588676054763684;31:0.0040896717662568804","11:0.010629498900161655;31:0.004183133992557625","0.0135498046875","Yes"
"19","167.908625855862","141.2040983994646","0.01025390625","0.012451171875","0.008056640625","1560","0.0005486531966232783","24","0.0005486531966232783","0","0.0005486531966232783","0.0005486531966232783","35:68;15:68","35:0.0023468392349149103;15:0.0028870498508339892","35:0.0019781603967990447;15:0.00241058182921719","0.01025390625","Yes"
"20","211.03304500802875","225.07818122301356","0.01123046875","0.014404296875","0.008056640625","1560","0.0004511296861563809","24","0.0004511296861563809","0","0.0004511296861563809","0.0004511296861563809","21:68","21:0.005305058452206524","21:0.0024102062881665998","0.01123046875","Yes"
"21","186.05290349796877","136.41935797517675","0.009033203125","0.01416015625","0.00390625","1560","0.00038637457147385856","24","0.00038637457147385856","0","0.00038637457147385856","0.00038637457147385856","36:68;20:68;22:68","36:0.006830447012642182;20:0.005305058452206524;22:0.0030521447480074404","36:0.004857626044308921;20:0.0024102062881665998;22:0.001932262138331975","0.009033203125","Yes"
"22","129.48851974116286","116.12242992052656","0.0108642578125","0.01708984375","0.004638671875","1560","0.00034038334503810294","24","0.00034038334503810294","0","0.00034038334503810294","0.00034038334503810294","23:68;21:68","23:0.0017499691634772219;21:0.0030521447480074404","23:0.0018133511844953543;21:0.001932262138331975","0.0108642578125","Yes"
"23","227.53926234291612","181.57112055216697","0.004638671875","0.0068359375","0.00244140625","1560","0.00017509286365927014","24","0.00017509286365927014","0","0.00017509286365927014","0.00017509286365927014","22:68;24:68;16:68","22:0.0017499691634772219;24:0.011467863136138429;16:0.003948965035763918","22:0.0018133511844953543;24:0.010363486573922914;16:0.0028347495867548644","0.004638671875","Yes"
"24","159.14859104902027","138.62654557599043","0.0260009765625","0.024169921875","0.02783203125","1560","0.0015990112304524798","24","0.0015990112304524798","0","0.0015990112304524798","0.0015990112304524798","23:68;25:68","23:0.011467863136138429;25:0.027800409661027287","23:0.010363486573922914;25:0.02666105420608822","0.0260009765625","Yes"
"25","104.13630203400292","60.684044289729314","0.0242919921875","0.0263671875","0.022216796875","1560","0.0002638413988458548","24","0.0002638413988458548","0","0.0002638413988458548","0.0002638413988458548","24:68;26:68;37:68","24:0.027800409661027287;26:0.0020823146315242513;37:0.00201630666163502","24:0.02666105420608822;26:0.0021644019153178318;37:0.0017140242188501964","0.0242919921875","Yes"
"26","136.11266016114084","103.2483080839455","0.0146484375","0.01806640625","0.01123046875","1560","0.00023798513705477437","24","0.00023798513705477437","0","0.00023798513705477437","0.00023798513705477437","25:68;27:68","25:0.0020823146315242513;27:0.03257768314841461","25:0.0021644019153178318;27:0.032162817312011455","0.0146484375","Yes"
"27","119.80140728915495","136.4657298491488","0.016845703125","0.029296875","0.007080078125","1560","0.0049112847587319125","24","0.0049112847587319125","0","0.0049112847587319125","0.0049112847587319125","26:68;28:68;17:68","26:0.03257768314841461;17:0.025383995148327648","26:0.032162817312011455;17:0.042587873995225844","0.016845703125","Yes"
"28","197.21444562872375","185.98388375493158","0.007568359375","0.009765625","0.00537109375","1560","0.00021488341601090012","24","0.00021488341601090012","0","0.00021488341601090012","0.00021488341601090012","27:68;29:68","29:0.004946662873422297","29:0.0025320449702897763","0.007568359375","Yes"
"29","54.77226941843581","34.74492987440001","0.0181884765625","0.016845703125","0.01953125","1560","0.00024701839553793823","24","0.00024701839553793823","0","0.00024701839553793823","0.00024701839553793823","38:68;28:68;30:68","38:0.0021424665027657275;28:0.004946662873422297;30:0.0020166133591763835","38:0.0019685894793541325;28:0.0025320449702897763;30:0.002053799878515866","0.0181884765625","Yes"
"30","171.38946646936668","124.90049394931822","0.0125732421875","0.011962890625","0.01318359375","1560","0.00031619038666655505","24","0.00031619038666655505","0","0.00031619038666655505","0.00031619038666655505","31:68;29:68","31:0.0036557996397136583;29:0.0020166133591763835","31:0.004440695814717538;29:0.002053799878515866","0.0125732421875","Yes"
"31","168.40452638488895","36.29282492131301","0.020263671875","0.02734375","0.01318359375","1560","0.00037937312930339196","24","0.00037937312930339196","0","0.00037937312930339196","0.00037937312930339196","30:68;32:68;18:68","30:0.0036557996397136583;32:0.033275080560145054;18:0.0040896717662568804","30:0.004440695814717538;32:0.0069151563919594705;18:0.004183133992557625","0.020263671875","Yes"
"32","113.56259016670833","89.55928691886328","0.024169921875","0.0302734375","0.01806640625","1560","0.0003622889772981114","24","0.0003622889772981114","0","0.0003622889772981114","0.0003622889772981114","31:68;33:68","31:0.033275080560145054","31:0.0069151563919594705","0.024169921875","Yes"
